metric,skipped,n_paired_bins,effective_independent_blocks,is_place_property,place_property_note,unit_of_analysis,motorcycle_median,car_median,paired_median_difference_moto_minus_car,ci_low,ci_high,ci_method,ci_caveat,median_ratio_moto_over_car,cliffs_delta,permutation_p,permutation_iterations,permutation_reason,permutation_p_fdr,significant_after_fdr
speed_mps,False,42,6,False,,50 m route bin,12.861000061035156,11.30525016784668,2.229249954223633,0.5135002136230469,4.624500274658203,"block bootstrap, block=8, 2000 iterations",,1.1546837434633157,0.32653061224489793,0.39072185562887424,5000,,0.6077895532004711,False
acceleration_mps2,False,42,6,False,,50 m route bin,-0.19800006330325837,0.006999963485753158,-0.2117498419642383,-0.5279997745490417,-0.006875077469049362,"block bootstrap, block=8, 2000 iterations",,,-0.18253968253968253,0.10757848430313938,5000,,0.23315336932613479,False
lateral_acceleration_mps2,False,40,5,False,,50 m route bin,0.2174892639145311,0.1596437351465267,0.015208360875904221,0.003682283411002309,0.018815446909374332,"block bootstrap, block=8, 2000 iterations",,1.3411031628344228,0.11375,0.589882023595281,5000,,0.8258348330333934,False
head_angular_speed_rad_s,False,42,6,False,,50 m route bin,0.17731282599939457,0.12171808619730397,0.049450193205196634,0.04689085832781606,0.06225336667891759,"block bootstrap, block=8, 2000 iterations",,1.4070252331827913,0.5158730158730159,0.001999600079984003,5000,,0.0076984603079384125,True
head_abs_yaw_rate_rad_s,False,42,6,False,,50 m route bin,0.05750158999838548,0.05511491204324338,0.003828144861170786,-0.004082416400634337,0.008293108053056109,"block bootstrap, block=8, 2000 iterations",,1.0624938612999082,0.05102040816326531,0.7798440311937612,5000,,0.9098180363927214,False
head_vibration_rms_msec2,False,42,6,False,,50 m route bin,0.35260543215093487,0.1349229208542953,0.2237398703968273,0.1955052457212733,0.28080529876853677,"block bootstrap, block=8, 2000 iterations",,2.789690155497216,0.9863945578231292,0.0005998800239952009,5000,,0.004199160167966407,True
heart_rate_bpm,False,42,6,False,,50 m route bin,120.12034102269652,78.01352772544438,42.09597007757794,39.59147513787509,45.713501514230046,"block bootstrap, block=8, 2000 iterations",,1.56203809794213,0.9943310657596371,0.0005998800239952009,5000,,0.004199160167966407,True
ppg_sqi,False,42,6,False,,50 m route bin,0.8117264810143252,0.9342609665843277,-0.11650006651806122,-0.14613274171891644,-0.05787133720147819,"block bootstrap, block=8, 2000 iterations",,0.8682012363650276,-0.8458049886621315,0.003599280143971206,5000,,0.010077984403119376,True
lux,False,42,6,False,,50 m route bin,7066.201171875,2889.074951171875,4036.15087890625,3520.722900390625,4317.606201171875,"block bootstrap, block=8, 2000 iterations",,2.2484378210848783,0.9659863945578231,0.0021995600879824036,5000,,0.0076984603079384125,True
gaze_foveal_entropy,False,42,6,False,,50 m route bin,0.25510770657279913,0.269294926129927,-0.012213578023050037,-0.03254449337354037,0.02607798610479284,"block bootstrap, block=8, 2000 iterations",,0.9610164825673768,-0.01020408163265306,0.7044591081783643,5000,,0.8965843194997365,False
gaze_road_relevant_mass,False,42,6,False,,50 m route bin,0.1984059764293709,0.28147991274703854,-0.07914167643130737,-0.10206602958099908,-0.007880231194649416,"block bootstrap, block=8, 2000 iterations",,0.7863677784071916,-0.16099773242630386,0.21875624875024996,5000,,0.38282343531293744,False
road_complexity_index,False,42,6,True,"built only from map attributes of the bin, which are identical for both vehicles because the bin is the same place; the zero difference is arithmetic, not a finding",50 m route bin,0.5860696381632384,0.5860696381632384,0.0,0.0,0.0,"block bootstrap, block=8, 2000 iterations",,1.0,0.0,1.0,5000,,1.0,False
visual_demand_index,False,42,6,False,,50 m route bin,0.4066126190354638,0.40544808663170345,-0.061877392956800115,-0.10221936249286667,0.017675442953428877,"block bootstrap, block=8, 2000 iterations",,0.8826067464189646,-0.060090702947845805,0.9350129974005199,5000,,1.0,False
traffic_interaction_index,False,42,6,False,,50 m route bin,0.4852206614630623,0.4064918546790799,0.06289971224757351,-0.06481311864415484,0.13409575300320287,"block bootstrap, block=8, 2000 iterations",,,0.15419501133786848,0.11657668466306739,5000,,0.23315336932613479,False
